symbol,full_name,function,go_terms,uniprot_summary
SOST,Sclerostin,Secreted Wnt antagonist from osteocytes suppressing bone formation,GO:0001503 ossification; GO:0030111 regulation of Wnt signaling,Osteocyte-derived inhibitor of LRP5/6; target of romosozumab for osteoporosis.
RUNX2,Runt-related transcription factor 2,Master regulator of osteoblast differentiation,GO:0001503 ossification; GO:0045669 positive regulation of osteoblast differentiation,Essential for bone mineralization; mutations cause cleidocranial dysplasia.
BGLAP,Osteocalcin,Bone gamma-carboxyglutamate protein marking formation,GO:0001503 ossification; GO:0070166 osteoblast differentiation,Secreted by mature osteoblasts; serum marker of bone turnover.
COL1A1,Collagen type I alpha 1,Principal organic matrix protein of bone,GO:0030198 extracellular matrix organization; GO:0001503 ossification,Most abundant bone protein; mutations cause osteogenesis imperfecta.
SPP1,Osteopontin,Phosphorylated matrix protein bridging cells and mineral,GO:0001503 ossification; GO:0006954 inflammatory response,Mediates osteoclast attachment; elevated in remodeling and inflammation.
TNFSF11,RANKL (receptor activator of NF-kB ligand),Key osteoclast differentiation factor,GO:0045453 bone resorption; GO:0032703 osteoclast differentiation,Target of denosumab; overexpression drives resorptive bone loss.
TNFRSF11B,Osteoprotegerin,Decoy receptor for RANKL,GO:0045453 bone resorption; GO:0032703 osteoclast differentiation,Endogenous anti-resorptive; loss causes early-onset Paget disease.
CTSK,Cathepsin K,Lysosomal cysteine protease degrading collagen,GO:0045453 bone resorption; GO:0006508 proteolysis,Osteoclast effector enzyme; inhibitors were developed to raise BMD.
WNT3A,Wnt family member 3A,Canonical Wnt ligand,GO:0016055 Wnt signaling pathway; GO:0001503 ossification,Promotes osteoblastogenesis and stem-cell self-renewal.
LRP5,LDL receptor related protein 5,Wnt co-receptor,GO:0016055 Wnt signaling pathway; GO:0001503 ossification,Gain causes high bone mass; loss causes osteoporosis-pseudoglioma.
BMP2,Bone morphogenetic protein 2,Osteoinductive TGF-beta family ligand,GO:0001503 ossification; GO:04350 TGF-beta signaling,Clinical osteoinductive agent for spinal fusion.
ACP5,Tartrate-resistant acid phosphatase 5,Metallophosphatase of osteoclasts,GO:0045453 bone resorption; GO:0001503 ossification,TRAP serum marker of osteoclast number and activity.
MYOD1,Myogenic differentiation 1,Basic helix-loop-helix myogenic factor,GO:0043403 skeletal muscle tissue regeneration; GO:0007519 myogenesis,Determines myoblast identity; required for regeneration.
MYOG,Myogenin,Terminal myogenic regulatory factor,GO:0007519 myogenesis; GO:0043403 skeletal muscle tissue regeneration,Drives myoblast fusion into multinucleated fibers.
MSTN,Myostatin (GDF8),TGF-beta family negative regulator of muscle mass,GO:0014742 muscle hypertrophy; GO:04350 TGF-beta signaling,Null phenotypes show doubling of muscle mass; therapeutic blockade target.
FBXO32,F-box protein 32 (Atrogin-1),Muscle-specific E3 ubiquitin ligase,GO:0043403 skeletal muscle tissue regeneration; GO:0006511 ubiquitin-dependent catabolism,"Universal atrophy marker induced by unloading, fasting and disease."
